"ID","Genotype","APA","Year","TrainSessionCombo","NumEntrances","NumShock","TimeTarget","Time1stEntr","Time1stShock","entranceshockequal","firstentranceshockequal"
"15143D","WT","yoked_trained","2015","T6_C3",12,50,103.236,49.87,49.87,"not equal","equal"
"15147D","WT","yoked_trained","2015","Retention",12,52,98.271,45.87,45.87,"not equal","equal"
"16-122B","WT","yoked_trained","2016","T2",12,53,103.533,18.47,18.47,"not equal","equal"
"15143B","WT","yoked_conflict","2015","T2",12,57,117.163,30.93,30.93,"not equal","equal"
"15145C","WT","trained_trained","2015","T6_C3",13,13,9.401,31.9,31.9,"equal","equal"
"15146C","WT","trained_trained","2015","T4_C1",13,13,10.632,49.37,49.37,"equal","equal"
"16-120B","FMR1-KO","trained_trained","2016","T5_C2",13,13,10.935,26.37,26.37,"equal","equal"
"16-118C","FMR1-KO","trained_conflict","2016","T4_C1",13,14,14.101,9.43,9.43,"not equal","equal"
"16-124C","WT","trained_conflict","2016","T6_C3",13,14,14.531,0.53,0.53,"not equal","equal"
"16-124B","WT","trained_trained","2016","T1",13,16,16.333,4,4,"not equal","equal"
"16-120B","FMR1-KO","trained_trained","2016","T2",13,16,17.5,24,24,"not equal","equal"
"16-118A","FMR1-KO","trained_trained","2016","T4_C1",13,20,25.235,15.3,15.3,"not equal","equal"
"16-123A","WT","trained_trained","2016","T2",13,20,33.266,48.3,48.3,"not equal","equal"
"16-117D","FMR1-KO","trained_conflict","2016","T1",13,24,39.338,4.4,4.4,"not equal","equal"
"16-121D","FMR1-KO","trained_conflict","2016","Retention",13,33,60.065,100.13,100.13,"not equal","equal"
"15142B","WT","yoked_conflict","2015","T+_C+",13,33,63.598,12.83,12.83,"not equal","equal"
"16-122D","WT","yoked_conflict","2016","T6_C3",13,34,64.164,4.2,4.2,"not equal","equal"
"15141D","WT","yoked_trained","2015","T6_C3",13,34,75.6,41.1,41.1,"not equal","equal"
