"Genotype.x","Year.x","TrainSequence.x","TrainSessionCombo.x","ID.x","TrainGroup.x","NumShock.x","NumEntrances.x","TimeTarget.x","Time1stEntr.x","Time1stShock.x","ID.y","TrainGroup.y","NumShock.y","NumEntrances.y","TimeTarget.y","Time1stEntr.y","Time1stShock.y"
"FMR1-KO","2016","train-train","Hab","16-116B","yoked",67,33,118.368,3.37,3.37,"16-116A","trained",62,27,109.562,6,6
"FMR1-KO","2016","train-conflict","T5_C2","16-120D","yoked",67,21,128.001,0.53,0.53,"16-120C","trained",23,18,36.195,0.53,0.53
"WT","2015","train-train","T3","15143D","yoked",68,21,146.434,0.53,0.53,"15143C","trained",1,1,0.733,306.87,306.87
"WT","2015","train-conflict","T5_C2","15148B","yoked",68,17,129.666,6.77,6.77,"15148A","trained",5,5,5.201,6.83,6.83
"WT","2016","train-train","T6_C3","16-122B","yoked",68,14,128.698,42.07,42.07,"16-122A","trained",4,3,5.067,188.6,188.6
"FMR1-KO","2016","train-conflict","T1","16-116D","yoked",68,22,129.501,7.27,7.27,"16-116C","trained",9,9,8.602,15.67,15.67
"WT","2015","train-train","T3","15145D","yoked",69,25,151.999,22,22,"15145C","trained",5,5,5.033,18.03,18.03
"WT","2015","train-conflict","T6_C3","15144B","yoked",69,20,130.833,16.03,16.03,"15144A","trained",1,1,0.934,388.47,388.47
"FMR1-KO","2016","train-conflict","T6_C3","16-118D","yoked",69,18,135.534,0.5,0.5,"16-118C","trained",0,0,0.066,599.97,599.97
"FMR1-KO","2016","train-conflict","T6_C3","16-120D","yoked",69,18,128.767,0.53,0.53,"16-120C","trained",7,5,12.833,0.53,0.53
"FMR1-KO","2016","train-conflict","Retention","16-120D","yoked",69,18,130.934,20.3,20.3,"16-120C","trained",35,15,76.767,31.97,31.97
"WT","2015","train-train","T4_C1","15143D","yoked",70,13,140.201,29.27,29.27,"15143C","trained",0,0,0,599.97,599.97
"WT","2015","train-conflict","T5_C2","15144B","yoked",70,18,138.605,13.6,13.6,"15144A","trained",3,3,2.567,48.6,48.6
"WT","2015","train-conflict","Retest","15147B","yoked",70,17,158.432,19.9,19.9,"15147A","trained",5,5,3.667,47.77,47.77
"FMR1-KO","2016","train-train","T3","16-116B","yoked",70,20,127.898,24.8,24.8,"16-116A","trained",3,3,2.601,7.6,7.6
"WT","2015","train-train","Hab","15144D","yoked",71,37,135.666,0.57,0.57,"15144C","trained",64,42,115.464,1.33,1.33
"WT","2015","train-conflict","T3","15140B","yoked",71,23,127.233,22.93,22.93,"15140A","trained",3,3,2.498,256.53,256.53
"WT","2015","train-conflict","Retest","15140B","yoked",71,24,133.164,0.53,0.53,"15140A","trained",1,1,1.067,432.07,432.07
"WT","2016","train-train","T5_C2","16-123B","yoked",71,21,147.702,3.33,3.33,"16-123A","trained",5,5,5.367,55.13,55.13
"WT","2016","train-train","Retention","16-357B","yoked",71,28,143.031,17.1,17.1,"16-124B","trained",35,18,61.406,126.2,126.2
"WT","2016","train-conflict","T1","16-124D","yoked",71,19,144.095,14.77,14.77,"16-124C","trained",10,9,10.966,15.67,15.67
"WT","2016","train-conflict","Retest","16-123D","yoked",72,26,140.332,12.8,12.8,NA,NA,NA,NA,NA,NA,NA
"WT","2016","train-train","Retention","16-122B","yoked",74,20,147.395,37.17,37.17,"16-122A","trained",54,17,100.634,72.83,72.83
"WT","2016","train-train","Retest","16-123B","yoked",74,18,148.398,54.47,54.47,"16-123A","trained",3,3,3.633,13.33,13.33
